Timestamp,Column 2,Gender,Ready_Time,Breakfast,Wakeup_Time
10/30/2024 21:11:19,,Female,45,No,20
10/30/2024 21:11:26,,Female,60,No,5
10/30/2024 21:11:44,,Female,65,Yes,20
10/30/2024 21:13:56,,Female,30,No,1
10/30/2024 21:24:19,,Female,30,No,10
10/30/2024 21:26:53,,Male,45,No,2
10/30/2024 21:33:02,,Male,10,No,1
10/30/2024 22:09:54,,Male,10,No,15
10/31/2024 0:46:13,,Female,45,Yes,10
10/31/2024 16:46:31,,Male,20,Yes,5
11/1/2024 8:54:02,,Female,60,Yes,20
11/1/2024 8:55:44,,Female,50,No,3
11/1/2024 8:57:05,,Female,75,Yes,10
11/1/2024 8:57:38,,Male,30,No,5
11/1/2024 8:58:12,,Female,30,Yes,1
11/1/2024 8:58:31,,Male,60,No,5
11/1/2024 8:58:46,,Male,30,Yes,1
11/1/2024 8:59:14,,Female,60,No,15
11/1/2024 8:59:29,,Female,50,Yes,10
11/1/2024 9:01:48,,Female,40,No,30
11/1/2024 9:01:54,,Female,40,Yes,15
11/1/2024 9:02:23,,Female,20,Yes,3
11/1/2024 9:02:43,,Female,20,No,5
11/1/2024 9:03:38,,Female,30,No,30
11/1/2024 9:05:11,,Female,30,No,10
11/1/2024 9:05:17,,Female,45,No,10
11/1/2024 9:05:21,,Female,30,No,10
11/1/2024 9:05:26,,Female,70,Yes,5
11/1/2024 9:05:29,,Male,30,Yes,10
11/1/2024 9:05:30,,Male,7,Yes,30
11/1/2024 9:05:31,,Female,60,Yes,10
11/1/2024 9:05:32,,Female,30,Yes,10
11/1/2024 9:05:34,,Female,40,No,10
11/1/2024 9:05:38,,Female,30,No,10
11/1/2024 9:05:40,,Female,40,No,5
11/1/2024 9:05:42,,Female,120,Yes,30
11/1/2024 9:05:47,,Female,25,No,5
11/1/2024 9:05:49,,Female,45,No,15
11/1/2024 9:05:55,,Male,6,No,10
11/1/2024 9:06:08,,Male,25,Yes,15
11/1/2024 9:06:28,,Female,30,No,15
11/1/2024 9:06:29,,Female,45,Yes,10
11/1/2024 9:06:49,,Male,15,Yes,10
11/1/2024 9:06:51,,Male,15,Yes,15
11/1/2024 9:07:00,,Female,10,Yes,1
11/1/2024 9:09:40,,Female,40,No,10
11/1/2024 9:14:10,,Female,60,No,20
11/1/2024 9:16:45,,Male,40,Yes,15
11/1/2024 9:17:13,,Female,30,No,60
11/1/2024 9:17:23,,Male,15,No,1
11/1/2024 9:17:43,,Female,30,Yes,3
11/1/2024 9:19:10,,Female,80,Yes,5
11/1/2024 9:20:01,,Female,10,No,30
11/1/2024 9:27:50,,Female,120,Yes,1
11/1/2024 9:44:28,,Female,30,No,10
11/1/2024 9:53:49,,Female,60,Yes,15
11/1/2024 10:07:48,,Female,35,No,5
11/1/2024 10:08:07,,Female,1,Yes,10
11/1/2024 10:08:17,,Female,15,No,1
11/1/2024 10:13:30,,Female,30,No,20
11/1/2024 10:28:40,,Male,20,No,10
11/1/2024 10:30:06,,Female,60,No,15
11/1/2024 10:35:14,,Male,30,Yes,1
11/1/2024 10:41:12,,Male,30,Yes,15
11/1/2024 10:47:08,,Male,10,No,1
11/1/2024 10:47:31,,Female,30,No,30
11/1/2024 10:52:18,,Female,50,No,30
11/1/2024 10:52:56,,Female,60,Yes,20
11/1/2024 10:56:25,,Female,30,No,25
11/1/2024 10:56:51,,Female,30,No,25
11/1/2024 10:59:40,,Female,30,No,10
11/1/2024 11:01:10,,Male,30,No,30
11/1/2024 12:50:57,,Female,70,No,10
11/1/2024 12:50:59,,Female,45,Yes,15
11/1/2024 12:57:19,,Female,2,Yes,30
11/1/2024 12:58:07,,Female,1,Yes,30
11/1/2024 13:00:16,,Male,120,No,180
11/1/2024 13:07:55,,Female,60,No,20
11/1/2024 13:09:45,,Female,30,No,120
11/1/2024 13:10:11,,Female,15,No,10
11/1/2024 13:10:30,,Female,70,Yes,20
11/1/2024 13:12:37,,Female,45,No,15
11/1/2024 13:14:04,,Female,120,Yes,30
11/1/2024 13:14:19,,Female,10,Yes,10
11/1/2024 13:14:37,,Male,30,No,60
11/1/2024 13:14:50,,Female,60,No,40
11/1/2024 13:15:40,,Female,40,No,60
11/1/2024 13:16:40,,Female,15,No,45
11/1/2024 13:16:41,,Female,90,No,5
11/1/2024 13:16:46,,Female,60,Yes,15
11/1/2024 13:17:33,,Female,30,Yes,1
11/1/2024 13:17:35,,Male,10,Yes,20
11/1/2024 13:17:35,,Male,15,Yes,15
11/1/2024 13:17:39,,Female,30,No,5
11/1/2024 13:17:47,,Male,120,Yes,20
11/1/2024 13:17:49,,Female,3,No,1
11/1/2024 13:17:50,,Male,5,Yes,5
11/1/2024 13:17:52,,Female,60,No,2
11/1/2024 13:17:52,,Female,60,No,5
11/1/2024 13:17:55,,Male,15,Yes,15
11/1/2024 13:18:06,,Female,120,Yes,5
11/1/2024 13:18:10,,Male,20,Yes,10
11/1/2024 13:18:22,,Male,30,Yes,5
11/1/2024 13:18:24,,Male,40,No,10
11/1/2024 13:18:35,,Female,20,No,30
11/1/2024 13:18:48,,Male,45,No,10
11/1/2024 13:19:14,,Male,12,No,10
11/1/2024 13:19:29,,Female,120,Yes,5
11/1/2024 13:19:56,,Female,40,Yes,8
11/1/2024 13:20:33,,Female,60,No,20
11/1/2024 13:23:18,,Female,60,No,30
11/1/2024 13:27:37,,Female,30,No,15
11/1/2024 13:28:36,,Female,45,No,25
11/1/2024 13:30:47,,Male,30,No,5
11/1/2024 13:33:39,,Female,90,Yes,15
11/1/2024 13:34:32,,Female,20,No,10
11/1/2024 13:38:37,,Female,30,No,15
11/1/2024 13:38:44,,Female,40,No,20
11/1/2024 13:43:31,,Male,10,Yes,15
11/1/2024 13:44:39,,Female,80,No,30
11/1/2024 13:45:37,,Male,30,Yes,10
11/1/2024 13:46:58,,Male,60,Yes,30
11/1/2024 13:48:00,,Female,20,No,5
11/1/2024 13:48:20,,Female,70,No,5
11/1/2024 13:51:36,,Female,45,No,10
11/1/2024 14:06:54,,Female,30,No,20
11/1/2024 14:12:21,,Female,35,No,10
11/1/2024 14:25:02,,Female,30,No,10
11/1/2024 14:29:46,,Male,30,No,20
11/1/2024 14:30:16,,Female,45,Yes,10
11/1/2024 14:30:49,,Female,25,No,10
11/1/2024 14:31:58,,Female,90,No,60
11/1/2024 15:28:15,,Male,25,No,15
11/1/2024 15:46:44,,Male,5,No,10
11/1/2024 16:49:41,,Male,25,No,5
11/1/2024 18:10:04,,Female,50,No,30
11/1/2024 18:10:05,,Male,15,No,5
11/1/2024 18:15:01,,Male,5,Yes,2
11/1/2024 18:40:51,,Female,90,Yes,5
11/1/2024 18:45:35,,Female,30,No,10
11/1/2024 19:07:22,,Male,20,Yes,3
11/1/2024 19:07:29,,Male,20,Yes,3
11/1/2024 19:45:59,,Male,4,No,60
11/1/2024 21:53:38,,Female,60,No,10
11/1/2024 21:55:49,,Female,30,No,15
11/1/2024 21:56:22,,Female,40,Yes,5
11/1/2024 21:57:25,,Male,5,No,1
11/1/2024 21:57:31,,Female,60,No,25
11/1/2024 22:00:11,,Male,45,No,30
11/1/2024 22:02:41,,Female,45,Yes,30
11/1/2024 22:03:32,,Female,45,Yes,10
11/1/2024 22:03:36,,Female,1,No,10
11/1/2024 22:05:27,,Male,30,No,60
11/1/2024 22:06:44,,Female,1,No,10
11/1/2024 22:08:17,,Female,90,No,29
11/1/2024 22:09:40,,Female,20,No,30
11/1/2024 22:09:57,,Female,45,No,5
11/1/2024 22:10:22,,Female,30,No,10
11/1/2024 22:10:25,,Female,60,Yes,20
11/1/2024 22:10:44,,Female,35,No,15
11/1/2024 22:12:51,,Female,40,No,30
11/1/2024 22:17:59,,Female,45,No,60
11/1/2024 22:18:34,,Female,60,Yes,20
11/1/2024 22:54:46,,Male,40,No,2
11/1/2024 22:55:29,,Female,45,No,15
11/1/2024 23:06:16,,Male,20,Yes,5
11/1/2024 23:13:37,,Female,1,No,15
11/2/2024 0:09:56,,Female,60,Yes,10
11/2/2024 5:29:28,,Male,30,No,1
11/2/2024 6:20:55,,Female,30,No,10
11/2/2024 6:37:52,,Male,120,No,5
11/2/2024 6:51:23,,Female,45,No,10
11/2/2024 7:13:35,,Female,20,No,10
11/2/2024 7:18:45,,Male,10,No,1
11/2/2024 7:54:24,,Female,1,Yes,5
11/2/2024 8:20:50,,Female,30,No,5
11/2/2024 10:52:11,,Female,45,No,20
11/2/2024 11:13:46,,Female,30,No,10
11/2/2024 13:20:07,,Female,90,No,15
11/2/2024 13:38:19,,Female,30,No,15
11/2/2024 16:28:33,,Male,30,No,5
11/2/2024 16:51:25,,Female,45,No,10
11/2/2024 16:53:44,,Female,35,No,15
11/2/2024 16:54:12,,Female,30,No,10
11/2/2024 16:54:23,,Female,20,Yes,45
11/2/2024 16:54:26,,Male,30,No,1
11/2/2024 17:19:00,,Male,30,No,2
11/2/2024 17:27:55,,Male,45,Yes,5
11/2/2024 19:18:37,,Male,15,No,10
11/3/2024 11:53:54,,Female,80,Yes,10
11/3/2024 18:02:59,,Female,60,No,20
11/3/2024 18:03:38,,Female,45,No,15
11/3/2024 18:07:07,,Female,60,No,30
11/3/2024 18:15:06,,Male,15,Yes,5
11/3/2024 18:38:56,,Male,20,Yes,5
11/3/2024 18:42:33,,Male,25,No,3
11/3/2024 19:23:31,,Male,30,Yes,2
11/3/2024 21:33:28,,Female,1,No,15
11/4/2024 8:37:06,,Female,40,Yes,10
11/4/2024 8:37:46,,Female,20,Yes,40
11/4/2024 8:38:06,,Female,60,Yes,5
11/4/2024 8:38:32,,Male,20,Yes,1
11/4/2024 8:40:11,,Male,30,No,1
11/4/2024 10:00:53,,Female,35,Yes,10
11/4/2024 11:11:22,,Female,60,No,20
11/4/2024 11:11:43,,Female,30,Yes,60
11/4/2024 11:13:18,,Female,120,No,30