Timestamp,Gender,Ready_Time,Breakfast,Wakeup_Time
10/30/2024 21:11:19,Female,45,No,20
10/30/2024 21:11:26,Female,60,No,5
10/30/2024 21:11:44,Female,65,Yes,20
10/30/2024 21:13:56,Female,30,No,1
10/30/2024 21:24:19,Female,30,No,10
10/30/2024 21:26:53,Male,45,No,2
10/30/2024 21:33:02,Male,10,No,1
10/30/2024 22:09:54,Male,10,No,15
10/31/2024 0:46:13,Female,45,Yes,10
10/31/2024 16:46:31,Male,20,Yes,5
11/1/2024 8:54:02,Female,60,Yes,20
11/1/2024 8:55:44,Female,50,No,3
11/1/2024 8:57:05,Female,75,Yes,10
11/1/2024 8:57:38,Male,30,No,5
11/1/2024 8:58:12,Female,30,Yes,1
11/1/2024 8:58:31,Male,60,No,5
11/1/2024 8:58:46,Male,30,Yes,1
11/1/2024 8:59:14,Female,60,No,15
11/1/2024 8:59:29,Female,50,Yes,10
11/1/2024 9:01:48,Female,40,No,30
11/1/2024 9:01:54,Female,40,Yes,15
11/1/2024 9:02:23,Female,20,Yes,3
11/1/2024 9:02:43,Female,20,No,5
11/1/2024 9:03:38,Female,30,No,30
11/1/2024 9:05:11,Female,30,No,10
11/1/2024 9:05:17,Female,45,No,10
11/1/2024 9:05:21,Female,30,No,10
11/1/2024 9:05:26,Female,70,Yes,5
11/1/2024 9:05:29,Male,30,Yes,10
11/1/2024 9:05:30,Male,7,Yes,30
11/1/2024 9:05:31,Female,60,Yes,10
11/1/2024 9:05:32,Female,30,Yes,10
11/1/2024 9:05:34,Female,40,No,10
11/1/2024 9:05:38,Female,30,No,10
11/1/2024 9:05:40,Female,40,No,5
11/1/2024 9:05:42,Female,120,Yes,30
11/1/2024 9:05:47,Female,25,No,5
11/1/2024 9:05:49,Female,45,No,15
11/1/2024 9:05:55,Male,6,No,10
11/1/2024 9:06:08,Male,25,Yes,15
11/1/2024 9:06:28,Female,30,No,15
11/1/2024 9:06:29,Female,45,Yes,10
11/1/2024 9:06:49,Male,15,Yes,10
11/1/2024 9:06:51,Male,15,Yes,15
11/1/2024 9:07:00,Female,10,Yes,1
11/1/2024 9:09:40,Female,40,No,10
11/1/2024 9:14:10,Female,60,No,20
11/1/2024 9:16:45,Male,40,Yes,15
11/1/2024 9:17:13,Female,30,No,60
11/1/2024 9:17:23,Male,15,No,1
11/1/2024 9:17:43,Female,30,Yes,3
11/1/2024 9:19:10,Female,80,Yes,5
11/1/2024 9:20:01,Female,10,No,30
11/1/2024 9:27:50,Female,120,Yes,1
11/1/2024 9:44:28,Female,30,No,10
11/1/2024 9:53:49,Female,60,Yes,15
11/1/2024 10:07:48,Female,35,No,5
11/1/2024 10:08:07,Female,1,Yes,10
11/1/2024 10:08:17,Female,15,No,1
11/1/2024 10:13:30,Female,30,No,20
11/1/2024 10:28:40,Male,20,No,10
11/1/2024 10:30:06,Female,60,No,15
11/1/2024 10:35:14,Male,30,Yes,1
11/1/2024 10:41:12,Male,30,Yes,15
11/1/2024 10:47:08,Male,10,No,1
11/1/2024 10:47:31,Female,30,No,30
11/1/2024 10:52:18,Female,50,No,30
11/1/2024 10:52:56,Female,60,Yes,20
11/1/2024 10:56:25,Female,30,No,25
11/1/2024 10:56:51,Female,30,No,25
11/1/2024 10:59:40,Female,30,No,10
11/1/2024 11:01:10,Male,30,No,30