Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need
8/23/24,Friday,484.94,Got paid,Financial goals and Savings,Debit,Savings
8/23/24,Friday,140.00,Got paid,Financial goals and Savings,Cash,Savings
8/24/24,Saturday,131.00,Crochet Bag Order,Entertainment and Recreation,Credit,Want
8/24/24,Saturday,31.46,Doordash,Food,Credit,Want
8/26/24,Monday,2.15,Guac Chips,Food,Debit,Want
8/27/24,Tuesday,2.20,Ramen,Food,Debit,Want
8/28/24,Wednesday,15.00,Sandwich,Food,Cash,Need
8/29/24,Thursday,6.99,Ube muffins,Food,Debit,Want
8/29/24,Thursday,6.30,Boba,Food,Credit,Want
9/2/24,Monday,29.94,Shopping,Entertainment and Recreation,Credit,Want
9/2/24,Monday,9.96,Shampoo,Entertainment and Recreation,Credit,Need